Broker,Rater,Industry
Morgan Elementary - Playground Equipment,Schools,Education
Morgan Elementary/GYM,Schools,Education
Morgan University Center,Universities and Colleges,Education
Morocco Shrine Center,"Church, Mosque or Synagogue",Religious/Churches
Motel,Motels,Hotels/Casino/Entertainment
Motel Risk,Motels,Hotels/Casino/Entertainment
Motel Storage/Laundry r/a: Motels and Hotels without Cooking - Over 30 Units,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Motel With Pool,Motels,Hotels/Casino/Entertainment
"MOTEL, COTTAGE",Motels,Hotels/Casino/Entertainment
Motel/Chair Terminal,Motels,Hotels/Casino/Entertainment
Motels,Motels,Hotels/Casino/Entertainment
Motels (Limited service),Motels,Hotels/Casino/Entertainment
Motels and Hotels with cooking - 11-30 units,Motels,Hotels/Casino/Entertainment
Motels and Hotels with cooking - Over 30 units,Motels,Hotels/Casino/Entertainment
Motels and Hotels with cooking- Up to 10 units,Motels,Hotels/Casino/Entertainment
MOTELS AND HOTELS WITH RESTAURANT - OVER 30 UNITS -CC 0744 / OC 3,Motels,Hotels/Casino/Entertainment
MOTELS AND HOTELS WITH RESTAURANT - UP TO 10 UNITS - CC 0742 / OC 3,Motels,Hotels/Casino/Entertainment
Motels and Hotels without Cooking - 11-30 Units,Motels,Hotels/Casino/Entertainment
Motels and Hotels without Cooking - Over 30 Units,Motels,Hotels/Casino/Entertainment
Motels and Hotels without Cooking - Up to 10 Units,Motels,Hotels/Casino/Entertainment
MOTELS AND HOTELS WITHOUT RESTAURANT - 11 TO 30 UNITS - CC 0746 / OC 3,Motels,Hotels/Casino/Entertainment
MOTELS AND HOTELS WITHOUT RESTAURANT - OVER 30 UNITS - CC 0747 / OC 3,Motels,Hotels/Casino/Entertainment
Motion Picture Lab,Tv and Radio Stations,Communications
Motor Control Bldg,Offices,Offices
Motor Pool and Repair Shop and fitness building,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Motor Service & Repair,Auto Repair Shop Garage,Retail
"Motor Vehicle and Aircraft Repair, with or without Sales",Auto Repair Shop Garage,Retail
MOTORCYCLE SHOP,Auto Dealers,Retail
MRI,Home Health Care Service,Health Services
Mtg/Office,Offices,Offices
Mtg/Office/Pastor's Home,Offices,Offices
MULTI FAMILIY,Mid Rise Apartments - 5-9 stories,Habitational
MULTI FAMILY,Mid Rise Apartments - 5-9 stories,Habitational
Multi family Dwelling -- other than apartment/condo,Mid Rise Apartments - 5-9 stories,Habitational
Multi Family Housing,Mid Rise Apartments - 5-9 stories,Habitational
Multi Family Units,Mid Rise Apartments - 5-9 stories,Habitational
MULTI FAMLIY,Mid Rise Apartments - 5-9 stories,Habitational
MULTI FAMLY,Mid Rise Apartments - 5-9 stories,Habitational
"Multi Retail shop center,
16 Bldgs 
Costco's/Ground Lease",Shopping Mall (Enclosed),Retail
Multi Tenant Retail Office,Offices,Offices
Multi-Family,Mid Rise Apartments - 5-9 stories,Habitational
Multifamily Apartments,Mid Rise Apartments - 5-9 stories,Habitational
Multi-Family Dwelling - Condominuim Unit Owner,Mid Rise Apartments - 5-9 stories,Habitational
Multi-Family Dwelling- Condominium Unit Owner,Mid Rise Apartments - 5-9 stories,Habitational
Multi-Family Dwelling – Homeowners Association,Mid Rise Apartments - 5-9 stories,Habitational
Multifamily Residential,Mid Rise Apartments - 5-9 stories,Habitational
Multi-family student housing,Mid Rise Student Housing - 5-9 stories,Habitational
"Multiple buildings - Office, event space, barns",Offices,Offices
MULTIPLE RESIDENCE,Mid Rise Apartments - 5-9 stories,Habitational
Multi-Tenant,Motels,Hotels/Casino/Entertainment
Multi-tenant office,Offices,Offices
"Multi-Tenant Retail Strip Shopping Center, includes Rite Aid Drug Store, Auto Parts Center, and Misc. Small Shops.  (Real Property occupied by Rite Aid not included.)",Department Stores,Retail
"Multi-Tenanted Office
Bldg. 
(Leased Offices)",Offices,Offices
Municipal - Other,Governmental Office & Administration,Govermental/Municipal
Municipal Annex,Governmental Office & Administration,Govermental/Municipal
MUNICIPAL BUILDING,Governmental Office & Administration,Govermental/Municipal
Municipal Building - City Hall,Governmental Office & Administration,Govermental/Municipal
MUNICIPAL BUILDING - CIVIC CENTER,Governmental Office & Administration,Govermental/Municipal
Municipal Building - Demolished,Governmental Office & Administration,Govermental/Municipal
Municipal Building - Fire Station,Governmental Office & Administration,Govermental/Municipal
Municipal Court,Governmental Office & Administration,Govermental/Municipal
MUNICIPAL COURT - POLICE STATION,Governmental Office & Administration,Govermental/Municipal
Municipal Court Building,Governmental Office & Administration,Govermental/Municipal
MUNICIPAL COURT-LEASED,Governmental Office & Administration,Govermental/Municipal
Municipal Courts Building,Governmental Office & Administration,Govermental/Municipal
Municipalities,Governmental Office & Administration,Govermental/Municipal
Museum,Museums,Hotels/Casino/Entertainment
MUSEUM - FORMER RESIDENCE,Mid Rise Apartments - 5-9 stories,Habitational
Museum (historic bldg),Museums,Hotels/Casino/Entertainment
Museum and housing of historical materials Public Access - Manned by Volunteers,Museums,Hotels/Casino/Entertainment
MUSEUM BUILDING,Museums,Hotels/Casino/Entertainment
Museum for profit,Museums,Hotels/Casino/Entertainment
MUSEUM LAMB'S PRINT SHOP,Museums,Hotels/Casino/Entertainment
Museum Of the Bing Bend,Museums,Hotels/Casino/Entertainment
Museum Pavilion,Governmental Office & Administration,Govermental/Municipal
Museum Restroom Building,Museums,Hotels/Casino/Entertainment
MUSEUM STORAGE,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Museums,Museums,Hotels/Casino/Entertainment
MUSEUMS - CC 1051 / OC 10,Museums,Hotels/Casino/Entertainment
Museums - Not-For-Profit Only - Building - Commercial,Museums,Hotels/Casino/Entertainment
Museums - Other than Not-For-Profit only - Building - Commercial,Museums,Hotels/Casino/Entertainment
"Museums, Libraries, Art Galleries (Non-Profit)",Museums,Hotels/Casino/Entertainment
Music,Schools,Education
Music Bldg,Schools,Education
Music Bldg Wing,Schools,Education
Music Room/Library,Schools,Education
Music Store,Miscellaneous Retailers,Retail
Music/Art,Schools,Education
Music/Art Bldg (adj to Gym),Schools,Education
MUTLI FAMILY,Mid Rise Apartments - 5-9 stories,Habitational
MYAKKA COMMUNITY CENTER,Governmental Office & Administration,Govermental/Municipal
N,Mid Rise Apartments - 5-9 stories,Habitational
N/A,Mid Rise Apartments - 5-9 stories,Habitational
Nail Salon,Miscellaneous Retailers,Retail
Nail Salons,Miscellaneous Retailers,Retail
NAPA Auto Parts Building,Auto Dealers,Retail
NATHAN DEAN COMMUNITY CENTER,Governmental Office & Administration,Govermental/Municipal
Natural Gas Office,Offices,Offices
NDB STATION - RADIO STATION,Tv and Radio Stations,Communications
Neighborhood Center,Governmental Office & Administration,Govermental/Municipal
NEIGHBORHOOD SHOPPING CENTER,Strip Mall,Retail
NEIGHBORHOOD SHOPPING CTR,Strip Mall,Retail
Neon Dutch Mill Motel Sign in Parson's Alley,Motels,Hotels/Casino/Entertainment
NETTING-BASEBALL COMPLEX,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
New Admin Addition,Offices,Offices
New Admin Area,Offices,Offices
New Admin entry addition,Offices,Offices
New Admnistrative Building,Offices,Offices
New Building Office/Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
NEW CALVING BARN,Livestock Farming,Agriculture/Farming
New Church Building/Gym,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
New Church location,"Church, Mosque or Synagogue",Religious/Churches
New Classroom Wing 100,Schools,Education
New Classroom Wing 200,Schools,Education
New Fire Station,Governmental Office & Administration,Govermental/Municipal
New Fire Station 2,Governmental Office & Administration,Govermental/Municipal
New Gym,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
New Headquarters,Offices,Offices
New High School,Schools,Education
NEW HOUSE,Single Family Dwellings,Habitational
NEW KIDS POOL,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
New Lab Building,Laboratories,Health Services
New Library,Library,Govermental/Municipal
New Office,Offices,Offices
New Office & Pavement,Offices,Offices
New School,Schools,Education
NEW STORAGE BUILDING,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
NEW STORAGE HOUSE,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
New Town Hall,Governmental Office & Administration,Govermental/Municipal
NEW TOWN HALL - BUILDERS RISK,Governmental Office & Administration,Govermental/Municipal
Newman Farm,Livestock Farming,Agriculture/Farming
NFP MUSEUM,Museums,Hotels/Casino/Entertainment
Nightclub,"Lounges, Night Clubs, Discos",Retail
Non Owner,Single Family Dwellings,Habitational
Non Profit Org,Governmental Office & Administration,Govermental/Municipal
NONFERROUS METAL REFINER & JEWELRY SALES,Metal Product Manufacturing,Light Industry
North Classrooms,Schools,Education
North Dock Office and Rest Room,Offices,Offices
North Dockside Office,Offices,Offices
North Egg Production Center,Chicken Egg Production,Agriculture/Farming
NORTH PARKING COMPLEX (449 spaces),Parking Garages,Light Industry
North Parking Garage,Parking Garages,Light Industry
North Pavilion,Lodges and Clubs,Hotels/Casino/Entertainment
North Tower Office Bldg (1),Offices,Offices
Northside Plaza Strip Center,Strip Mall,Retail
Northside Wastewater Treatment Plant,Miscellaneous Waste Management,Heavy Industry
Nuclear Pharmacy,Pharmacies and Drug Stores,Retail
NULL,Unknown,Unknown
Nursery - garden (not greenhouses),Nurseries and Garden Centers,Retail
Nursery -garden( not greenhouses),Nurseries and Garden Centers,Retail
Nursing & Classroom Building,Schools,Education
Nursing And Convalescent Homes,Nursing Home,Health Services
Nursing Home,Nursing Home,Health Services
Nursing Homes,Nursing Home,Health Services
Nursing Homes - Skilled Nursing Care Facilities,Nursing Home,Health Services
Nut/Seed Prod Mfg,Nut Roasting - Including Peanut Butter,Food
NYLON MNFG,Plastics Material and Resin Manufacturing,Heavy Industry
Oak Dorm,Mid Rise Student Housing - 5-9 stories,Habitational
Oakdale Community Center,Governmental Office & Administration,Govermental/Municipal
OAKWOOD CITY PARK,Lodges and Clubs,Hotels/Casino/Entertainment
Oberservatory Classrooms,Schools,Education
Oberservatory Telescope,Unknown,Unknown
Observation & Laundry Bldg,Laundry,Retail
OCC AS MARBLE WAREHOUSE,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
OCC BT LAUNDROMAT DELI,Supermarkets and Grocery,Retail
OCC BY GROCERT,Supermarkets and Grocery,Retail
OCCUP BY AUTO REPAIR,Auto Repair Shop Garage,Retail
Ocean Marine Insurance,Piers and Wharves,Transportation
Oconee Gymnasium,Fitness and Recreational Sports Centers,Hotels/Casino/Entertainment
Oconee Post Office,Offices,Offices
ODFW Headquarters/Offices/Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
"Off, Whs, Mfg",General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Off/Café/Classrooms,Schools,Education
OFF/WAREHSE/INTERNET/WEB,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Offfices/Repair,Auto Repair Shop Garage,Retail
OFFICE,Offices,Offices
Office                                             3672,Offices,Offices
Office  (Brumby St.),Offices,Offices
Office - Americus,Offices,Offices
OFFICE - CONCESSION BUILDING,Offices,Offices
Office - Ellaville,Offices,Offices
Office - Garage,Offices,Offices
OFFICE - GAS DEPARTMENT,Offices,Offices
Office - General,Offices,Offices
Office - GM Lake Orion,Offices,Offices
Office - Lab,Offices,Offices
Office - Lease,Offices,Offices
Office - Leased,Offices,Offices
Office - Leasehold Improvements,Offices,Offices
OFFICE - LRO,Offices,Offices
Office - Maintenance Building,Offices,Offices
Office - Pastor Home,Offices,Offices
Office - Pastor's Home - Rent,Offices,Offices
Office - Pump Station,Offices,Offices
Office - Rent,Offices,Offices
Office - Rental,Offices,Offices
Office - Rented Out,Offices,Offices
OFFICE - RESTROOM - CONCESSION BUILDING,Offices,Offices
Office - School Bldg,Schools,Education
Office - Storage 1 - Aldine,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Office - Storage Building,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
OFFICE - TEMPORARY CITY HALL,Offices,Offices
Office - Training Center,Offices,Offices
Office - Units 1-2,Offices,Offices
Office - Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
OFFICE & 2 APTS,Offices,Offices
Office & Accommodation,Offices,Offices
OFFICE & APT,Offices,Offices
Office & Children's Room - Lease,Offices,Offices
Office & Classrooms,Schools,Education
Office & Control Room,Offices,Offices
Office & guesthouse,Offices,Offices
Office & Habitational,Offices,Offices
Office & Meeting area at Fairgrounds,Offices,Offices
Office & Parking Area,Offices,Offices
Office & Parking structure,Offices,Offices
Office & Pilates Studio,Offices,Offices
Office & Residence,Offices,Offices
Office & Residential,Offices,Offices
Office & Retail,Offices,Offices
Office & Shop,Offices,Offices
Office & Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
office & storage warranty team,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
OFFICE & WAREHO,Offices,Offices
Office & Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Office & Warehouse Distribution,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Office & Yard,Offices,Offices
Office (Administrator's Home),Offices,Offices
Office (Air Traffic Control Tower),Offices,Offices
Office (cabin 1),Offices,Offices
Office (cabin 2),Offices,Offices
Office (cabin 3),Offices,Offices
Office (cabin 4),Offices,Offices
Office (Hanford),Offices,Offices
Office (not owned by CGB),Offices,Offices
Office (Pastor's Home),Offices,Offices
Office (Richland),Offices,Offices
"Office (Scurity Equip)
Pax Terminal",Offices,Offices
"Office , shop, storage",Offices,Offices
Office / grai and fertilizer storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Office / Guard Shack,Offices,Offices
Office / Hanger,Other Support Facilities For Air Transportation,Transportation
Office / Kennel,Offices,Offices
Office / Lab,Offices,Offices
Office / Light Industrial / Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Office / Pastor's Home,Offices,Offices
Office / Retail,Offices,Offices
Office / Retail / Medical,Medical Office,Health Services
office / shop,Offices,Offices
Office / Storage,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Office / Warehouse,General Warehousing and Storage - Non-Hazardous,Storage and Wholesale Trade
Office / Whse / Workshop,Machinery Manufacturing,Light Industry
OFFICE / WORKSHOP,Machinery Manufacturing,Light Industry
Office 412,Offices,Offices
Office adjacent to Fairgrounds,Offices,Offices
Office Administration,Offices,Offices
